前进 | 前进
别倒车了，停在这儿 | 无操作
请右转，但轻轻地 | 右转
Move backward slowly and stop after a bit | 后退
别动，车停在这里 | 无操作
向左转，但请减速 | 左转
Move forward a little, but don’t speed up | 前进
Please reverse, but do it carefully | 后退
向前进，别太快 | 前进
Move the car backward slowly, then stop | 后退
别再前进了，请停下来 | 无操作
向右转，保持慢速 | 右转
反方向的左转，尽量慢一点 | 右转
Please don’t move forward, just stop | 无操作
Move forward until I stop you | 无操作
向左转并稍微减速 | 左转
向右转，但不要急 | 右转
Move backward but not too quickly | 后退
左转的反方向 | 右转
前进的反方向 | 后退
向左转的反方向 | 右转
向前进的反方向 | 后退
右转的反方向 | 左转
后退的反方向 | 前进
请向前进的反方向 | 后退
请向后退的反方向 | 前进
向右转的反方向 | 左转
请向左转的反方向 | 右转
向右走的反方向 | 左转
前进反方向 | 后退
请向前进的反方向，请停下 | 后退
右转反方向 | 左转
反方向右转 | 左转
向后退的反方向 | 前进
向前进的反方向 | 后退
反向的左转 | 右转
向左转的反方向 | 右转
反方向的右转 | 左转
向右转的反方向 | 左转
请右转的反方向 | 左转
向左转反方向 | 右转
向前进的反方向，倒车 | 后退
向右转反方向 | 左转
向前进的反方向，马上倒车 | 后退
左转反方向 | 右转
请向前进的反方向，请倒车 | 后退
右转的反方向，请左转 | 左转
向左转的反方向 | 右转
向前进的反方向 | 后退
右转的反方向 | 左转
向后退的反方向 | 前进
请左转反方向 | 右转
请向前进反方向 | 后退
请倒车的反方向 | 前进
请右转的反方向 | 左转
向左走的反方向 | 右转
请向右转的反方向 | 左转
前进的反方向 | 后退
向后退的反方向 | 前进
反方向的左转 | 右转
向前进的反方向，马上停下 | 后退
向右转的反方向 | 左转
别再前进，倒车 | 后退
向左转反方向 | 右转
请向前进的反方向 | 后退
向前进反方向 | 后退
向右转反方向 | 左转
右转的反方向请左转 | 左转
向左转的反方向，请马上右转 | 右转
向后退的反方向，请前进 | 前进
别动，车停下 | 无操作
向左转的反方向，马上右转 | 右转
向前进的反方向，快速倒车 | 后退
右转反方向 | 左转
请向右转的反方向，避免直行 | 左转
向左转反方向 | 右转
请向前进的反方向 | 后退
向后退的反方向 | 前进
右转的反方向 | 左转
向左转的反方向 | 右转
前进的反方向 | 后退
向前进的反方向，请停下来 | 后退
向右转反方向 | 左转
请倒车的反方向 | 前进
向左走的反方向 | 右转
反方向前进 | 后退
向后退反方向 | 前进
请向右转的反方向 | 左转
向左转的反方向，请右转 | 右转
向前进反方向，请倒车 | 后退
向右转的反方向，请向左转 | 左转
向后退的反方向，请停止 | 前进
向右转的反方向，快速左转 | 左转
右转反方向 | 左转
请向前进的反方向，马上停下 | 后退
向左转的反方向，直接右转 | 右转
向前进反方向，马上倒车 | 后退
向后退的反方向，立刻前进 | 前进
请向左转的反方向，请开始右转 | 右转
向前进的反方向，停下 | 后退
请向后退的反方向，马上前进 | 前进
向右转的反方向，迅速左转 | 左转
向前进的反方向，请避免继续前进 | 后退
请倒车反方向，请前进 | 前进
别左转了，前进 | 前进
别停下，继续前进 | 前进
别倒车，向右转 | 右转
别向左走了，前进 | 前进
别右转了，前进 | 前进
别左转，向右转 | 右转
别停下，右转 | 右转
别倒车了，向左转 | 左转
别右转了，向前进 | 前进
别前进，倒车 | 后退
别停下，继续向前进 | 前进
别向右转，继续前进 | 前进
别往后退了，右转 | 右转
别左转，前进 | 前进
别再倒车，继续前进 | 前进
别停下来，向左转 | 左转
别再右转，前进 | 前进
别左转了，继续前进 | 前进
别右转了，向前进 | 前进
别停下，倒车 | 后退
别停下来，继续向右转 | 右转
别走得太快，停下 | 无操作
别停下，继续左转 | 左转
别再前进了，右转 | 右转
别再左转了，向前进 | 前进
别停下，继续右转 | 右转
别左转了，继续前进 | 前进
别右转了，倒车 | 后退
别倒车，向前进 | 前进
别左转，前进 | 前进
别右转了，继续前进 | 前进
别停下，右转 | 右转
别倒车，向前进 | 前进
别左转了，后退 | 后退
别停下来，继续右转 | 右转
别倒车了，向前进 | 前进
别再前进了，向右转 | 右转
别停下，继续倒车 | 后退
别再左转，前进 | 前进
别右转了，倒车 | 后退
别再停下来，继续前进 | 前进
别左转了，右转 | 右转
别停下，前进 | 前进
别再前进了，倒车 | 后退
别右转，继续前进 | 前进
别再倒车，继续前进 | 前进
别停下，向左转 | 左转
别左转了，继续前进 | 前进
别右转了，继续倒车 | 后退
别停下来，前进 | 前进
别再向左转，继续前进 | 前进
别停下，继续前进 | 前进
别倒车了，继续前进 | 前进
别右转，前进 | 前进
别停下，继续前进 | 前进
别倒车，继续右转 | 右转
别再前进了，右转 | 右转
别左转了，前进 | 前进
后退的反义词 | 前进
别往后退了，右转 | 右转
别再前进了，倒车 | 后退
别停下来，继续前进 | 前进
别后退，请立即左转 | 左转
别后退，也别右转 | 无操作
别前进，也别后退，请左转 | 左转
别退了，往右转 | 右转
别前进，也别后退，请右转 | 右转
今天的天气真好。 | 无操作
你喜欢什么电影？ | 无操作
这个餐厅的饭很好吃。 | 无操作
我们下次去哪儿玩？ | 无操作
你今天怎么了？ | 无操作
这本书很好看。 | 无操作
我喜欢听音乐放松。 | 无操作
你有空吗？我们可以一起去看电影。 | 无操作
我今天心情不错。 | 无操作
我最近忙于工作。 | 无操作
你喜欢喝咖啡吗？ | 无操作
今天有很多事情要做。 | 无操作
我在看新闻。 | 无操作
最近有一个新游戏发布了。 | 无操作
我想去旅行，但是没时间 | 无操作
你看过那部电视剧吗？ | 无操作
你想学做饭吗？ | 无操作
你怎么不回我消息？ | 无操作
昨天晚上我睡得很晚。 | 无操作
我在等朋友。 | 无操作
明天是我的生日。 | 无操作
你看到了那个笑话吗？ | 无操作
今天有点冷，要穿外套。 | 无操作
你会游泳吗？ | 无操作
这部电影太感人了。 | 无操作
我的手机没电了。 | 无操作
我需要买一些新衣服。 | 无操作
我昨天去了一个很棒的展览。 | 无操作
你今天有什么计划？ | 无操作
这首歌真好听。 | 无操作
我最近迷上了健身。 | 无操作
我的猫很调皮。 | 无操作
你喜欢喝茶还是咖啡？ | 无操作
我在学习新的技能。 | 无操作
你喜欢去哪里度假？ | 无操作
你最近有去旅行吗？ | 无操作
我想参加一个马拉松。 | 无操作
这个地方的风景很美。 | 无操作
我今天做了很多事情。 | 无操作
我们可以一起喝咖啡。 | 无操作
昨天晚上我加班到很晚。 | 无操作
你会做菜吗？ | 无操作
这家店的衣服很合适。 | 无操作
今天我们去看电影吧。 | 无操作
你有什么推荐的书吗？ | 无操作
这条裤子有点紧。 | 无操作
你想去哪里吃晚餐？ | 无操作
今天下午我要去开会。 | 无操作
我的电脑需要升级了。 | 无操作
你有什么兴趣爱好吗？ | 无操作
我正在找一个新的工作。 | 无操作
这道菜的味道很奇怪。 | 无操作
我喜欢在周末看书。 | 无操作
今天晚上有个派对。 | 无操作
我的朋友今天过生日。 | 无操作
你在做什么？ | 无操作
我想去海边度假。 | 无操作
昨天我去了一个很棒的餐馆。 | 无操作
今天我要去做体检。 | 无操作
我昨晚看了一场篮球比赛。 | 无操作
你喜欢猫还是狗？ | 无操作
我最近在学习编程。 | 无操作
我的车需要保养了。 | 无操作
你喜欢早上还是晚上跑步？ | 无操作
我最近在看一部很有趣的电视剧。 | 无操作
明天我要去参加一个会议。 | 无操作
我最近学了一些新歌。 | 无操作
你喜欢听什么类型的音乐？ | 无操作
你今天吃了什么？ | 无操作
我最近想学跳舞。 | 无操作
这个问题有点难。 | 无操作
你知道最近有什么新电影吗？ | 无操作
我计划去做一些义工工作。 | 无操作
今天我去参加了一个讲座。 | 无操作
我喜欢听轻音乐来放松。 | 无操作
你觉得这个设计怎么样？ | 无操作
我的家人周末常常聚会。 | 无操作
我在读一本非常有意思的书。 | 无操作
我最近迷上了摄影。 | 无操作
你想参加马拉松比赛吗？ | 无操作
我喜欢去郊外散步。 | 无操作
我今天去买了一些新鞋子。 | 无操作
这个周末你有什么计划？ | 无操作
我喜欢早上跑步。 | 无操作
你想去健身房吗？ | 无操作
我最近在尝试瑜伽。 | 无操作
你喜欢吃辣的食物吗？ | 无操作
昨天我去参加了一个婚礼。 | 无操作
你喜欢穿运动鞋还是皮鞋？ | 无操作
我正在学习一门新的语言。 | 无操作
你有参加过什么活动吗？ | 无操作
今天我去跑步了。 | 无操作
我喜欢画画作为放松。 | 无操作
你平时喜欢做什么运动？ | 无操作
最近我开始学习吉他。 | 无操作
我最近去看了一个新博物馆。 | 无操作
你有去过这个地方吗？ | 无操作
我最近在学做甜点。 | 无操作
你今天吃了什么午餐？ | 无操作
我昨天去了一个美术展。 | 无操作
向前进 | 前进
一直往前走 | 前进
往前开 | 前进
Move forward | 前进
Go straight | 前进
后退的反方向 | 前进
也就是向后退的反面 | 前进
别倒车，直接往前 | 前进
朝车头方向移动 | 前进
加速往前冲 | 前进
向前移动一点 | 前进
去前面 | 前进
继续前行 | 前进
前面有路直接走 | 前进
不要后退要往前 | 前进
保持直行 | 前进
走走走 | 前进
Gogogo | 前进
不是后退 | 前进
往前方行驶 | 前进
Forward | 前进
油门踩到底 | 前进
朝前看 | 前进
开启前进模式 | 前进
往后退 | 后退
倒车 | 后退
请倒车 | 后退
向后退 | 后退
Move backward | 后退
Go back | 后退
往回倒 | 后退
挂倒挡 | 后退
前进的反方向 | 后退
也就是向前进的反面 | 后退
别往前了，倒回来 | 后退
往车尾方向移 | 后退
向后方行驶 | 后退
倒回来一点 | 后退
不是前进 | 后退
Reverse the car | 后退
往回撤 | 后退
Back up | 后退
倒车请注意 | 后退
慢慢往后退 | 后退
退退退 | 后退
不要直行了往后退 | 后退
开始倒车 | 后退
向后倒车 | 后退
向左转 | 左转
往左拐 | 左转
左转 | 左转
Turn left | 左转
Go left | 左转
向右转的反方向 | 左转
也就是往右转的反面 | 左转
方向盘向左打 | 左转
去左边 | 左转
朝左边开 | 左转
左拐左拐 | 左转
左转一圈 | 左转
不是右转 | 左转
向左偏转 | 左转
不要往右拐，要往左 | 左转
往左前方看 | 左转
逆时针转动 | 左转
向左掉头 | 左转
Left turn | 左转
左拐弯 | 左转
请向左转 | 左转
向左手边转 | 左转
向右转 | 右转
往右拐 | 右转
右转 | 右转
Turn right | 右转
Go right | 右转
向左转的反方向 | 右转
也就是往左转的反面 | 右转
方向盘向右打 | 右转
去右边 | 右转
朝右边开 | 右转
右拐右拐 | 右转
右转一圈 | 右转
不是左转 | 右转
向右偏转 | 右转
不要往左拐，要往右 | 右转
往右前方看 | 右转
顺时针转动 | 右转
向右掉头 | 右转
Right turn | 右转
右拐弯 | 右转
请向右转 | 右转
向右手边转 | 右转
停车 | 无操作
刹车 | 无操作
Stop | 无操作
Stop moving | 无操作
Don't move | 无操作
不要前进 | 无操作
别再前进了 | 无操作
不要后退 | 无操作
别倒车了 | 无操作
不要左转 | 无操作
别往左拐 | 无操作
不要右转 | 无操作
别往右拐 | 无操作
原地待命 | 无操作
立定 | 无操作
休息一下 | 无操作
这里风景不错 | 无操作
今天天气很好 | 无操作
你是谁 | 无操作
哈哈哈哈 | 无操作
喂喂喂听得见吗 | 无操作
错误的指令 | 无操作
随便说两句 | 无操作
刚才说错了不算 | 无操作
停下来 | 无操作
紧急制动 | 无操作
不要乱动 | 无操作
保持静止 | 无操作
前进 | 前进
往前走 | 前进
向前进 | 前进
直行 | 前进
Go forward | 前进
Move straight | 前进
Go straight | 前进
往这个方向走 | 前进
继续走 | 前进
加速前进 | 前进
前面 | 前进
走起 | 前进
GOGOGO | 前进
冲啊 | 前进

后退 | 后退
向后退 | 后退
倒车 | 后退
往后倒 | 后退
Go back | 后退
Move backward | 后退
Reverse | 后退
Back up | 后退
后面 | 后退
往后退一点 | 后退
倒一下 | 后退

左转 | 左转
向左转 | 左转
往左拐 | 左转
左拐 | 左转
Turn left | 左转
Go left | 左转
Rotate left | 左转
左边 | 左转
向左 | 左转
往左边去 | 左转

右转 | 右转
向右转 | 右转
往右拐 | 右转
右拐 | 右转
Turn right | 右转
Go right | 右转
Rotate right | 右转
右边 | 右转
向右 | 右转
往右边去 | 右转

停止 | 停止
停车 | 停止
刹车 | 停止
停下 | 停止
别走了 | 停止
立定 | 停止
Stop | 停止
Halt | 停止
Stop moving | 停止
待命 | 停止
休息一下 | 停止
不动 | 停止
住手 | 停止
暂停 | 停止

不要左转 | 无操作
别左转 | 无操作
千万别左转 | 无操作
不要往左 | 无操作
Don't turn left | 无操作
Not left | 无操作
不要右转 | 无操作
别右转 | 无操作
千万别右转 | 无操作
不要往右 | 无操作
Don't turn right | 无操作
Not right | 无操作
不要前进 | 无操作
别往前走 | 无操作
不要后退 | 无操作
别倒车 | 无操作
你好 | 无操作
早上好 | 无操作
今天天气不错 | 无操作
你是谁 | 无操作
随便说说 | 无操作
哈哈哈哈 | 无操作
这就很尴尬 | 无操作
不知道干嘛 | 无操作
Hello | 无操作
Hi | 无操作
